geoid,os_1990_total,os_1990_cem,os_1990_rec,os_1990_cons,os_1990_priv,os_1990_trail,os_1990_water,os_1990_other,os_2001_total,os_2001_cem,os_2001_rec,os_2001_cons,os_2001_priv,os_2001_trail,os_2001_water,os_2001_other,os_2005_total,os_2005_cem,os_2005_rec,os_2005_cons,os_2005_priv,os_2005_trail,os_2005_water,os_2005_other,os_2010_total,os_2010_cem,os_2010_rec,os_2010_cons,os_2010_priv,os_2010_trail,os_2010_water,os_2010_other,os_2013_total,os_2013_cem,os_2013_rec,os_2013_cons,os_2013_priv,os_2013_trail,os_2013_water,os_2013_other,id
60172,1.18821,0.00411712,0.14997055,0.01283305,0.01508873,,0.42915365,0.57704944,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.864115,0.00642745,0.30783369,0.04238492,0.01743033,,0.21531373,0.27472495,0.523919,0.00691001,0.30193272,0.03563245,,,,0.17944376,0.51943,0.00691,0.30218733,0.03660074,,,,0.17373218,68
60173,1.03185,,0.01156677,0.00046503,,,0.39259457,0.62721957,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.924729,,0.1856297,0.0004687,,,0.32307863,0.41555175,0.164563,,0.15940395,,,,,0.00515949,0.160988,,0.15940446,,,,,0.0015831,69
60176,0.715042,0.07588707,0.01417218,0.42506616,,,0.02897374,0.17094313,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.675105,0.07576179,0.02126661,0.43543939,,,0.01753011,0.12510718,0.536911,0.0673285,0.01675055,0.42509807,,,0.01004667,0.01768676,0.537771,0.06453459,0.01954295,0.42509809,,,0.01258948,0.01600623,70
60181,0.607798,0.18019106,0.1168911,0.06311451,0.07029799,,0.02724393,0.15005977,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.740363,0.17817499,0.15069299,0.07621979,0.07126844,0.04202135,0.04172772,0.18025724,0.480791,0.1571899,0.11488971,0.0803344,0.07233794,0.04986164,0.00013223,0.0060454,0.496857,0.15705818,0.11490089,0.0821122,0.07233794,0.04985885,0.00013157,0.02045729,71
60187,0.923777,,0.19997805,0.05115001,,,0.27959458,0.39305479,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.681386,0.00216652,0.2036457,0.33249352,,,0.07581527,0.06726458,0.580013,0.0015369,0.22655946,0.29194716,,0.05559513,,0.00437476,0.576238,0.00310468,0.22210016,0.29224625,,0.0552206,,0.00356621,72
60188,1.71275,,0.23956882,0.00015383,,,0.51728834,0.95573815,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.33705,0.00288506,0.47083211,0.17783534,0.00888163,,0.2890949,0.38751756,0.874588,0.00280662,0.61514991,0.1317524,0.00689952,0.05499597,,0.06298352,0.889369,0.0028066,0.61527035,0.13238831,0.0068999,0.05499596,,0.07700758,73
60189,3.12531,0.05516744,0.3663041,1.08077351,0.81031275,,0.33723379,0.47551531,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,3.59643,0.05398668,0.43868951,1.35412455,1.41866055,0.00879912,0.27819345,0.04398037,3.38201,0.05064694,0.4462927,1.98294705,0.85301745,0.03297649,,0.01613413,3.37041,0.05064722,0.44562498,1.97936117,0.8530175,0.03297742,,0.00877838,74
60190,1.24215,0.05246762,0.08638252,0.77370182,,,0.14695356,0.18264417,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.37355,0.05520541,0.10415103,0.8411508,0.17975176,,0.07806751,0.11522444,1.174,0.04308754,0.08536104,0.80134897,0.18491598,0.01976104,,0.03952829,1.18302,0.04308768,0.09507449,0.80189269,0.18492105,0.01976006,,0.03828108,75
60191,1.63625,,0.01023551,0.40506236,0.51891814,,0.05248499,0.64955026,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.57406,,0.07657764,0.40638146,0.70080541,,0.14496761,0.2453323,1.29878,,0.07429986,0.41807687,0.6496323,,,0.15677004,1.3176,,0.07419344,0.42932507,0.64963119,,,0.16444556,76
60192,4.21379,,0.20498603,2.52642941,0.21659301,,0.64219224,0.6235863,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,4.99496,,0.28930131,2.56626365,0.20667002,,0.4406351,1.49209373,3.06561,,0.32646848,2.47517479,0.26034829,,0.00115977,0.002456,3.07228,,0.33324788,2.47622785,0.26034832,,,0.002456,77
60193,1.30535,,0.36586168,0.20770265,0.00494153,,0.29893013,0.42791279,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.33574,0.00014641,0.57632905,0.2981967,0.01649681,,0.1714972,0.27307354,0.958958,,0.56986809,0.25842312,0.01231501,,0.00076102,0.1175905,0.959367,,0.57024209,0.25842295,0.01231501,,,0.1183873,78
60194,0.912391,0.00555224,0.23295814,0.00151718,0.31686492,,0.18047976,0.17501917,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.869426,0.01084042,0.2551102,0.01000463,0.34443156,,0.17495522,0.07408359,0.727299,,0.36299522,0.0098481,0.35419973,0.00025605,,,0.415675,,0.36299513,0.009848,0.03966137,0.00025605,,0.00291484,79
60195,1.27251,0.00550956,0.00880804,0.79794325,0.28220026,,0.02491425,0.15313699,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.27308,0.01057422,0.00879852,0.83635798,0.24868256,,0.02604962,0.14262051,1.08336,0.00482073,0.00677309,0.79648462,0.27527681,,,,1.08336,0.00482073,0.00677312,0.79649,0.27527678,,,,80
60201,1.43639,,0.27307694,,0.10935061,,1.01246242,0.04150117,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.16029,,0.31341633,0.01346557,0.10098932,,0.73241961,,0.386233,,0.23134812,0.01118839,0.08030357,0.00045437,0.00425821,0.05868029,0.367361,,0.23399684,0.01118839,0.08030358,0.00045437,0.00505763,0.03636045,81
60202,0.928981,0.14133945,0.18710932,,,,0.56091727,0.03961461,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.74834,0.14354171,0.20284878,0.02733485,,,0.37461516,,0.324443,0.14167741,0.14348183,,,0.03264447,,0.00663917,0.329351,0.14167751,0.14350724,,,0.03364535,0.00412419,0.00639623,82
60203,0.058091,,0.04984398,,,,0.00791904,0.00032796,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.0586019,,0.0498765,,,,0.00872541,,0.0641139,,0.01691269,,,0.04704104,,0.00016017,0.0639537,,0.01691269,,,0.04704105,,,83
60301,0.0157379,,0.01573792,,,,,,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.0154736,,0.01547361,,,,,,0.0126786,,0.01267859,,,,,,0.0126786,,0.01267859,,,,,,84
60302,0.0996433,,0.09644418,,,,,0.00319913,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.0829761,,0.08297612,,,,,,0.0672554,,0.06725536,,,,,,0.0672554,,0.06725537,,,,,,85
60304,0.068568,,0.05875598,,,,,0.00981198,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.0541663,,0.05416632,,,,,,0.0460452,,0.04449438,,,,,0.00155084,0.0468042,,0.04449438,,,,,0.00230981,86
60305,0.601874,0.00026741,0.04585208,0.5087389,,,0.03352691,0.01348874,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.602003,0.00028216,0.05087469,0.51587979,,,0.02801257,0.00695409,0.570809,6.502e-05,0.04223042,0.51461027,,,0.01323809,0.00066487,0.571138,6.502e-05,0.04223042,0.51459395,,,0.013985,0.00026373,87
60402,0.386398,0.13421266,0.0682779,0.00019911,,,0.06187272,0.12183592,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.350708,0.13490255,0.09272956,0.0001734,,,0.06659302,0.05630981,0.256158,0.12758884,0.07720802,,,,0.04943624,0.00192535,0.256866,0.12758884,0.07672871,,,,0.04943608,0.00311217,88
60406,1.34991,0.16633677,0.06423836,0.193057,,,0.17733145,0.74894903,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.59011,0.16640407,0.08067955,0.3756483,0.36938822,,0.18061725,0.41737609,1.09115,0.15025239,0.06315418,0.26214233,0.34246416,,0.11979656,0.15333793,1.11453,0.15026572,0.06314188,0.26213957,0.34247689,,0.14237631,0.15412685,89
60415,0.449221,0.00293844,0.05417038,,,,0.08939217,0.3027204,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.299979,0.00293832,0.04170306,0.02513388,0.15490398,,0.03323342,0.04206667,0.223459,2.062e-05,0.03381333,0.02323236,0.13077166,,0.00563911,0.02998231,0.219862,2.08e-05,0.03381332,0.02323233,0.14078589,,0.00374875,0.01826138,90
